[09/07/2024 02:56:44] [INFO] received Windows console close event; shutting log-core down
[09/07/2024 03:00:49] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 10:54:07] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 11:05:45] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 11:06:43] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 11:07:42] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 11:08:23] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 23:23:08] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 23:29:07] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 23:31:12] [INFO] received Windows console close event; shutting log-core down
[10/07/2024 23:33:27] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 00:39:09] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 00:52:13] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 00:59:10] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:07:29] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:13:30] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:22:01] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:32:26] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:48:35] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 01:59:44] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:01:56] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:08:20] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:11:37] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:16:11] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:20:39] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:22:30] [INFO] received Windows console close event; shutting log-core down
[11/07/2024 02:28:16] [INFO] received Windows console close event; shutting log-core down
[12/07/2024 00:04:36] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:45:12] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:51:04] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:53:49] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:58:02] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:59:03] [INFO] received Windows console close event; shutting log-core down
[14/07/2024 01:59:38] [INFO] received Windows console close event; shutting log-core down
[27/07/2024 01:18:05] [INFO] received Windows console close event; shutting log-core down
[27/07/2024 01:18:56] [INFO] received Windows console close event; shutting log-core down
[27/07/2024 01:20:22] [INFO] received Windows console close event; shutting log-core down
[27/07/2024 01:24:57] [INFO] received Windows console close event; shutting log-core down
[27/07/2024 01:29:52] [INFO] received Windows console close event; shutting log-core down
[29/07/2024 19:15:23] [INFO] received Windows console close event; shutting log-core down
[29/07/2024 19:23:20] [INFO] received Windows console close event; shutting log-core down
[22/08/2024 23:23:46] [INFO] received Windows console close event; shutting log-core down
[22/08/2024 23:29:21] [INFO] received Windows console close event; shutting log-core down
[23/08/2024 01:07:11] [INFO] received Windows console close event; shutting log-core down
[23/08/2024 01:46:47] [INFO] received Windows console close event; shutting log-core down
[23/08/2024 21:01:51] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 02:03:59] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 02:50:48] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 15:03:49] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 15:25:24] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:17:22] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:23:57] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:42:02] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:46:48] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:49:13] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:56:09] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:57:15] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:58:49] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 16:59:48] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 17:05:22] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 17:11:01] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 17:19:57] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 17:23:00] [INFO] received Windows console close event; shutting log-core down
[25/08/2024 17:52:52] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 14:38:27] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 20:40:11] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 21:11:53] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 21:20:19] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 21:32:00] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 22:20:50] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 22:28:03] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 22:34:23] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 22:49:32] [INFO] received Windows console close event; shutting log-core down
[31/08/2024 23:38:21] [INFO] received Windows console close event; shutting log-core down
[02/09/2024 20:09:21] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 12:07:29] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 18:34:23] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:14:26] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:21:26] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:28:04] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:32:19] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:45:43] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:50:33] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:51:51] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 19:59:32] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:09:27] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:14:12] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:25:45] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:45:33] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:48:05] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:51:31] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 20:54:01] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:06:09] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:27:06] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:29:43] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:39:25] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:40:33] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:41:14] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:44:32] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:49:37] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:51:24] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:54:19] [INFO] received Windows console close event; shutting log-core down
[10/09/2024 21:56:44] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 18:42:21] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 18:48:43] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 18:52:44] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 18:54:31] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:01:15] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:15:06] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:18:22] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:21:33] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:22:47] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:24:18] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:26:21] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:28:34] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:30:54] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:32:36] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:35:36] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:39:09] [INFO] received Windows console close event; shutting log-core down
[11/09/2024 19:39:51] [INFO] received Windows console close event; shutting log-core down
